avgGas,timestamp,samples,open,close,high,low
100172.65177118646,2024-12-11 03:19:56.797000+00:00,59,13.4439,15.0697,32.1595,10.6212
89767.2974033333,2024-12-11 02:19:53.824000+00:00,60,15.1093,13.9679,20.0,12.0
86731.18544666668,2024-12-11 01:19:50.933000+00:00,60,13.5704,13.0013,16.8606,11.6535
89354.36883,2024-12-11 00:19:48.106000+00:00,60,12.7205,14.0,19.5879,11.0
84420.00597833336,2024-12-10 23:19:44.767000+00:00,60,13.7051,15.0,17.3466,12.1691
84128.713065,2024-12-10 22:19:41.342000+00:00,60,16.5431,16.9428,37.7161,14.6177
82061.83981833333,2024-12-10 21:19:30.743000+00:00,60,18.7397,21.8872,25.5744,16.1301
80440.91140000001,2024-12-10 20:19:26.856000+00:00,60,22.8591,24.6509,26.6691,18.0793
77352.417285,2024-12-10 19:19:22.128000+00:00,60,24.7935,28.5174,46.1953,22.0855
72857.59955500002,2024-12-10 18:19:18.281000+00:00,60,28.4981,38.3996,50.5941,25.0912
77230.55178333334,2024-12-10 17:19:14.578000+00:00,60,39.8391,39.0,49.6605,32.8799
73814.14432333333,2024-12-10 16:19:09.984000+00:00,60,39.1013,62.083,65.6756,37.0
73905.28267000003,2024-12-10 15:19:05.549000+00:00,60,68.2924,47.0742,85.5114,47.0742
70529.29852033901,2024-12-10 14:19:58.445000+00:00,59,54.1783,83.4548,85.9067,46.1953
77117.10811166666,2024-12-10 13:19:54.948000+00:00,60,82.3497,24.7985,99.9233,16.7627
78916.65877333331,2024-12-10 12:19:50.372000+00:00,60,23.8774,17.2157,27.6086,14.4107
79393.84000666667,2024-12-10 11:19:46.687000+00:00,60,18.3,15.7933,19.2064,11.2917
78371.54100000001,2024-12-10 10:19:44.076000+00:00,60,17.7409,17.066,20.8935,12.0464
82486.38656833331,2024-12-10 09:19:40.884000+00:00,60,15.5475,15.0,25.0,12.9381
83474.97353,2024-12-10 08:19:37.490000+00:00,60,15.1183,14.015,17.8318,11.5573
84318.86286666665,2024-12-10 07:19:32.815000+00:00,60,12.9484,13.226,16.0331,10.2219
93044.82477500002,2024-12-10 06:19:29.813000+00:00,60,13.3059,12.0052,16.5943,10.832
86883.07452833331,2024-12-10 05:19:26.614000+00:00,60,11.7843,13.9123,17.2468,11.0
